product_id,supplier_type,lead_time_days
236,Local,4
237,Import,18
238,Import,22
239,Import,21
240,Local,5
241,Import,19
242,Import,21
243,Local,5
244,Local,4
245,Import,23
246,Import,24
247,Local,3
248,Local,3
249,Local,3
250,Import,25
251,Import,25
252,Import,23
253,Local,4
254,Local,5
255,Import,17
256,Import,25
257,Import,22
258,Local,4
259,Local,3
260,Local,5
261,Local,5
262,Import,22
263,Local,4
264,Import,21
265,Import,21
266,Import,21
267,Local,5
268,Import,24
269,Local,3
270,Import,25
271,Import,15
272,Local,3
273,Import,18
274,Local,4
275,Local,4
276,Local,4
277,Import,16
278,Local,3
279,Import,17
280,Import,21
281,Local,5
282,Import,22
283,Local,5
284,Local,5
285,Import,24
286,Local,5
287,Local,3
288,Import,16
289,Local,4
290,Import,21
291,Local,4
292,Local,5
293,Import,20
294,Local,4
295,Local,3
296,Import,19
297,Import,17
298,Import,22
299,Local,4
300,Import,19
301,Local,4
302,Local,3
303,Import,23
304,Import,15
305,Import,24
306,Import,16
307,Import,20
308,Import,25
309,Import,23
310,Local,3
311,Local,3
312,Import,16
313,Local,3
314,Local,3
315,Local,5
316,Local,4
317,Local,4
318,Import,23
319,Local,3
320,Local,5
321,Import,24
322,Import,25
323,Import,22
324,Import,17
325,Local,3
326,Local,5
327,Import,17
328,Local,3
329,Local,3
330,Import,17
331,Local,5
332,Import,25
333,Import,22
334,Import,15
335,Import,23
336,Local,3
337,Local,5
338,Local,4
339,Local,3
340,Import,18
341,Import,16
342,Import,22
343,Local,3
344,Import,20
345,Import,25
346,Local,5
347,Local,3
348,Import,22
349,Local,5
350,Local,4
351,Local,3
352,Local,3
353,Import,19
354,Import,19
355,Local,5
356,Import,16
357,Import,19
358,Import,24
359,Local,5
360,Import,17
361,Import,19
362,Local,3
363,Import,23
364,Local,4
365,Import,22
366,Import,23
367,Import,19
368,Import,19
369,Local,5
370,Import,17
371,Import,17
372,Import,22
373,Local,5
374,Local,5
375,Import,19
376,Import,23
377,Import,16
378,Local,5
379,Local,5
380,Local,5
381,Import,16
382,Local,4
383,Import,23
384,Local,4
385,Local,5
386,Local,4
387,Import,18
388,Import,20
389,Local,4
390,Local,4
391,Local,4
392,Local,4
393,Import,21
394,Import,17
395,Import,19
396,Import,17
397,Import,15
398,Import,16
399,Local,3
400,Local,3
401,Import,22
402,Local,3
403,Local,5
404,Import,21
405,Import,20
406,Local,3
407,Import,22
408,Import,24
409,Import,19
410,Local,3
411,Import,22
412,Import,17
413,Local,3
414,Import,15
415,Import,21
416,Import,23
417,Import,19
418,Local,4
419,Import,18
420,Local,5
421,Import,17
422,Import,22
423,Local,4
424,Import,16
425,Import,20
426,Import,17
427,Local,4
428,Import,23
429,Local,5
430,Import,19
431,Import,15
432,Local,4
433,Local,3
434,Import,23
435,Import,24
436,Import,21
437,Import,24
438,Local,3
439,Local,3
440,Local,3
441,Import,19
442,Local,3
443,Import,15
444,Local,3
445,Import,18
446,Local,4
447,Local,3
448,Local,3
449,Local,4
450,Import,24
451,Local,4
452,Import,20
453,Import,25
454,Local,4
455,Local,4
456,Local,5
457,Import,25
458,Import,20
459,Local,3
460,Import,22
461,Import,21
462,Local,3
463,Import,19
464,Local,5
465,Local,4
466,Local,3
467,Local,3
468,Local,3
469,Import,22
470,Import,24
471,Local,4
472,Import,25
473,Local,5
474,Local,4
475,Local,5
476,Import,24
477,Import,23
478,Local,5
479,Import,18
480,Import,22
481,Local,4
482,Local,3
483,Local,4
484,Import,20
485,Import,23
486,Import,23
487,Local,3
488,Local,3
489,Local,5
490,Import,23
491,Import,21
492,Import,20
493,Import,20
494,Import,22
495,Import,15
496,Local,4
497,Local,3
498,Import,18
499,Import,18
500,Import,16
501,Import,16
502,Local,4
503,Import,21
504,Local,3
505,Import,15
506,Import,22
507,Import,22
508,Import,21
509,Import,20
510,Import,17
511,Local,5
512,Import,22
513,Import,17
514,Import,19
515,Local,5
516,Import,20
517,Import,16
518,Import,24
519,Local,3
520,Local,5
521,Local,5
522,Import,19
523,Local,4
524,Local,3
525,Local,4
526,Import,25
527,Local,3
528,Import,17
529,Local,3
530,Local,5
531,Local,3
532,Local,3
533,Local,3
534,Import,23
535,Local,4
536,Import,25
537,Import,24
538,Local,4
539,Import,21
540,Local,4
541,Local,4
542,Import,23
543,Import,18
544,Import,20
545,Local,5
546,Local,3
547,Import,19
548,Local,5
549,Import,18
550,Local,5
551,Import,20
552,Local,3
553,Local,5
554,Import,23
555,Import,25
556,Import,18
557,Import,24
558,Import,23
559,Import,15
560,Local,3
561,Local,3
562,Local,3
563,Import,19
564,Import,21
565,Import,24
566,Import,18
567,Import,16
568,Import,16
569,Local,4
570,Import,15
571,Import,21
572,Local,3
573,Local,4
574,Import,15
575,Local,5
576,Local,5
577,Local,4
578,Import,21
579,Import,22
580,Local,3
581,Import,22
582,Import,21
583,Import,21
584,Import,16
585,Import,25
586,Local,3
587,Import,21
588,Local,3
589,Local,4
590,Local,3
591,Import,22
592,Local,4
593,Local,5
594,Import,19
595,Local,3
596,Local,4
597,Import,21
598,Local,4
599,Import,20
600,Local,5
601,Import,22
602,Local,4
603,Import,20
604,Import,16
605,Local,4
606,Local,3
607,Local,3
608,Local,3
609,Local,4
610,Import,16
611,Import,22
612,Local,4
613,Import,15
614,Local,5
615,Import,22
616,Import,17
617,Local,3
618,Local,4
619,Import,19
620,Import,19
621,Local,4
622,Local,5
623,Import,19
624,Import,19
625,Local,5
626,Import,18
627,Import,17
628,Import,21
629,Local,3
630,Import,23
631,Import,23
632,Import,25
633,Import,23
634,Import,25
635,Local,4
636,Local,4
637,Local,3
638,Local,5
639,Local,4
640,Import,23
641,Import,21
642,Import,23
643,Local,5
644,Import,21
645,Import,24
646,Local,3
647,Local,3
648,Import,16
649,Import,17
650,Local,3
651,Import,21
652,Import,19
653,Local,5
654,Import,17
655,Local,3
656,Import,16
657,Local,5
658,Import,23
659,Local,3
660,Local,3
661,Import,22
662,Local,5
663,Import,21
664,Import,22
665,Import,19
666,Import,16
667,Local,3
668,Local,5
669,Import,21
670,Import,25
671,Local,5
672,Local,5
673,Local,5
674,Local,3
675,Import,20
676,Import,18
677,Local,5
678,Local,5
679,Local,3
680,Local,4
681,Local,5
682,Local,5
683,Import,21
684,Import,18
685,Import,15
686,Import,21
687,Import,24
688,Import,22
689,Local,4
690,Local,4
691,Local,4
692,Local,5
693,Import,22
694,Local,4
695,Local,3
696,Import,21
697,Local,4
698,Import,19
699,Import,15
700,Local,3
701,Local,5
702,Import,17
703,Local,3
704,Import,20
705,Import,15
706,Import,20
707,Local,4
708,Import,15
709,Local,5
710,Local,4
711,Local,5
712,Import,20
713,Local,3
714,Import,17
715,Import,20
716,Import,17
717,Local,4
718,Local,3
719,Import,16
720,Import,23
721,Local,3
722,Import,17
723,Local,5
724,Local,4
725,Import,25
726,Import,17
727,Local,3
728,Import,19
729,Import,22
730,Import,25
731,Import,23
732,Import,15
733,Local,3
734,Local,3
735,Import,18
736,Import,20
737,Import,17
738,Import,23
739,Import,25
740,Local,3
741,Import,18
742,Local,5
743,Import,25
744,Import,20
745,Import,20
746,Local,5
747,Import,17
748,Import,18
749,Import,23
750,Import,16
751,Local,5
752,Local,5
753,Import,19
754,Local,4
755,Local,4
756,Import,17
757,Import,23
758,Import,16
759,Import,24
760,Local,3
761,Import,25
762,Local,3
763,Local,5
764,Import,15
765,Local,4
766,Local,5
767,Import,24
768,Local,3
769,Import,21
770,Local,4
771,Import,22
772,Import,24
773,Import,15
774,Local,3
775,Import,24
776,Import,22
777,Import,20
778,Import,18
779,Local,5
780,Local,3
781,Local,4
782,Import,19
783,Import,19
784,Import,20
785,Local,4
786,Local,4
787,Import,23
788,Local,3
789,Import,24
790,Local,5
791,Import,20
792,Local,3
793,Import,15
794,Import,25
795,Import,17
796,Import,17
797,Import,21
798,Import,18
799,Import,24
800,Import,19
801,Import,19
802,Import,22
803,Local,3
804,Local,5
805,Import,18
806,Import,19
807,Import,23
808,Local,3
809,Local,3
810,Import,21
811,Local,4
812,Import,19
813,Local,4
814,Import,24
815,Import,24
816,Import,25
817,Import,21
818,Local,5
819,Import,19
820,Local,4
821,Import,18
822,Import,23
823,Local,5
824,Local,5
825,Local,3
826,Local,4
827,Local,5
828,Import,19
829,Local,4
830,Local,3
831,Local,5
832,Import,18
833,Import,24
834,Local,3
835,Import,20
836,Local,5
837,Import,24
838,Local,4
839,Import,21
840,Local,5
841,Import,20
842,Import,19
843,Local,5
844,Import,25
845,Import,24
846,Local,3
847,Import,23
848,Local,3
849,Local,4
850,Local,3
851,Import,17
852,Import,25
853,Local,3
854,Import,19
855,Local,5
856,Local,3
857,Local,4
858,Import,18
859,Local,5
860,Local,3
861,Import,20
862,Import,23
863,Import,17
864,Import,24
865,Import,21
866,Local,3
867,Import,18
868,Local,4
869,Import,23
870,Import,22
871,Import,17
872,Local,4
873,Local,5
874,Local,5
875,Import,20
876,Local,5
877,Import,22
878,Import,24
879,Import,20
880,Import,15
881,Local,4
882,Local,5
883,Local,3
884,Import,15
885,Local,5
886,Local,4
887,Import,23
888,Import,15
889,Local,5
890,Local,4
891,Local,4
892,Import,23
893,Import,19
894,Local,3
895,Local,3
896,Local,5
897,Local,5
898,Local,4
899,Import,24
900,Import,19
901,Import,21
902,Import,16
903,Import,18
904,Local,5
905,Local,4
906,Local,4
907,Import,22
908,Local,5
909,Import,18
910,Local,3
911,Local,5
912,Import,18
913,Local,5
914,Local,5
915,Local,3
916,Import,18
917,Import,16
918,Import,25
919,Local,5
920,Local,4
921,Import,19
922,Import,17
923,Import,25
924,Local,5
925,Import,24
926,Import,24
927,Import,25
928,Import,18
929,Import,19
930,Import,15
931,Import,15
932,Import,17
933,Import,20
934,Import,24
935,Local,3
936,Local,4
937,Import,23
938,Local,3
939,Import,20
940,Local,4
941,Import,24
942,Import,16
943,Local,5
944,Import,17
945,Local,5
946,Local,5
947,Import,18
948,Local,3
949,Import,22
950,Local,5
951,Import,21
952,Import,22
953,Import,23
954,Local,3
955,Import,19
956,Local,3
957,Import,15
958,Import,23
959,Local,3
960,Local,4
961,Import,22
962,Import,17
963,Local,5
964,Import,18
965,Local,5
966,Import,21
967,Local,4
968,Local,5
969,Import,22
970,Local,4
971,Local,5
972,Local,5
973,Local,4
974,Import,18
975,Import,19
976,Import,21
977,Import,16
978,Local,3
979,Local,5
980,Import,25
981,Import,25
982,Import,21
983,Local,4
984,Local,5
985,Local,3
986,Local,4
987,Import,15
988,Local,5
989,Import,18
990,Local,4
991,Import,18
992,Import,20
993,Local,4
994,Import,21
995,Import,15
996,Import,19
997,Import,21
998,Import,18
999,Import,15
1000,Import,19
1001,Local,4
1002,Local,5
1003,Import,15
1004,Local,5
1005,Local,4
1006,Import,17
1007,Import,18
1008,Import,23
1009,Import,20
1010,Local,4
1011,Local,3
1012,Local,3
1013,Local,4
1014,Local,3
1015,Import,22
1016,Import,16
1017,Import,20
1018,Local,4
1019,Import,17
1020,Local,5
1021,Local,3
1022,Local,5
1023,Import,25
1024,Local,4
1025,Local,4
1026,Local,4
1027,Local,3
1028,Import,16
1029,Local,5
1030,Local,3
1031,Import,23
1032,Import,19
1033,Local,3
1034,Local,5
1035,Import,21
1036,Import,24
1037,Import,15
1038,Import,17
1039,Local,5
1040,Local,3
1041,Import,17
1042,Local,3
1043,Import,22
1044,Import,15
1045,Import,17
1046,Import,17
1047,Local,5
1048,Local,4
1049,Local,3
1050,Local,5
1051,Local,5
1052,Import,21
1053,Import,21
1054,Local,3
1055,Local,5
1056,Local,5
1057,Import,24
1058,Local,3
1059,Import,17
1060,Import,23
1061,Import,15
1062,Local,3
1063,Import,17
1064,Local,5
1065,Import,18
1066,Local,5
1067,Local,3
1068,Local,5
1069,Local,5
1070,Import,24
1071,Import,23
1072,Import,22
1073,Import,24
1074,Local,5
1075,Import,24
1076,Local,4
1077,Import,24
1078,Import,25
1079,Import,18
1080,Local,3
1081,Local,5
1082,Local,3
1083,Import,21
1084,Local,4
1085,Import,15
1086,Import,18
1087,Local,5
1088,Import,17
1089,Local,4
1090,Local,3
1091,Local,3
1092,Local,5
1093,Local,3
1094,Import,20
1095,Import,15
1096,Local,4
1097,Local,4
1098,Local,4
1099,Local,3
1100,Local,5
1101,Local,3
1102,Local,5
1103,Local,3
1104,Import,22
1105,Import,15
1106,Local,3
1107,Local,3
1108,Import,18
1109,Import,19
1110,Import,16
1111,Local,5
1112,Import,18
1113,Local,5
1114,Import,21
1115,Local,3
1116,Local,3
1117,Import,16
1118,Local,3
1119,Import,15
1120,Import,21
1121,Local,3
1122,Import,23
1123,Import,16
1124,Import,25
1125,Local,5
1126,Local,5
1127,Import,23
1128,Import,21
1129,Import,21
1130,Local,4
1131,Local,5
1132,Import,17
1133,Import,25
1134,Import,17
1135,Import,17
1136,Import,21
1137,Local,4
1138,Local,4
1139,Import,20
1140,Import,22
1141,Import,24
1142,Local,3
1143,Import,16
1144,Import,19
1145,Local,4
1146,Local,4
1147,Local,5
1148,Import,24
1149,Local,5
1150,Local,3
1151,Import,22
1152,Import,17
1153,Local,5
1154,Local,5
1155,Import,17
1156,Local,5
1157,Local,5
1158,Import,23
1159,Local,5
1160,Local,5
1161,Local,5
1162,Import,24
1163,Local,5
1164,Import,21
1165,Local,5
1166,Import,16
1167,Import,23
1168,Import,24
1169,Import,23
1170,Local,4
1171,Import,23
1172,Local,5
1173,Local,4
1174,Local,5
1175,Import,24
1176,Import,17
1177,Local,5
1178,Import,25
1179,Local,4
1180,Local,4
1181,Import,19
1182,Import,24
1183,Import,21
1184,Local,5
1185,Local,4
1186,Local,5
1187,Local,3
1188,Import,18
1189,Import,22
1190,Import,15
1191,Local,4
1192,Local,5
1193,Local,3
1194,Import,18
1195,Import,25
1196,Local,3
1197,Local,4
1198,Import,16
1199,Import,23
1200,Local,5
1201,Local,5
1202,Import,20
1203,Import,21
1204,Local,5
1205,Local,4
1206,Local,3
1207,Local,4
1208,Local,4
1209,Import,25
1210,Local,3
1211,Import,23
1212,Import,21
1213,Import,19
1214,Import,22
1215,Import,22
1216,Import,21
1217,Import,19
1218,Local,4
1219,Import,18
1220,Local,4
1221,Import,21
1222,Import,19
1223,Import,18
1224,Import,25
1225,Import,19
1226,Import,19
1227,Import,15
1228,Local,4
1229,Import,23
1230,Local,3
1231,Local,3
1232,Import,18
1233,Local,5
1234,Import,15
1235,Import,19
1236,Import,17
1237,Local,5
1238,Import,21
1239,Import,24
1240,Local,5
1241,Local,3
1242,Import,19
1243,Local,5
1244,Local,4
1245,Import,23
1246,Local,4
1247,Import,22
1248,Import,22
1249,Local,3
1250,Local,4
1251,Local,5
1252,Local,4
1253,Import,22
1254,Import,17
1255,Import,19
1256,Local,5
1257,Local,5
1258,Import,17
1259,Local,3
1260,Local,5
1261,Local,4
1262,Import,19
1263,Import,18
1264,Local,5
1265,Local,5
1266,Import,24
1267,Import,24
1268,Local,4
1269,Local,3
1270,Import,19
1271,Import,15
1272,Local,4
1273,Import,16
1274,Local,5
1275,Import,18
1276,Import,23
1277,Import,23
1278,Local,5
1279,Import,20
1280,Import,20
1281,Local,5
1282,Import,15
1283,Local,3
1284,Import,16
1285,Local,3
1286,Local,3
1287,Import,24
1288,Local,4
1289,Local,4
1290,Import,22
1291,Local,3
1292,Import,21
1293,Local,3
1294,Import,15
1295,Import,15
1296,Import,15
1297,Import,21
1298,Local,5
1299,Import,19
1300,Import,20
1301,Local,3
1302,Import,21
1303,Import,20
1304,Local,4
1305,Local,5
1306,Local,3
1307,Import,16
1308,Local,4
1309,Local,4
1310,Local,4
1311,Local,4
1312,Local,5
1313,Import,24
1314,Import,15
1315,Local,3
1316,Local,4
1317,Local,4
1318,Import,19
1319,Local,5
1320,Import,20
1321,Local,4
1322,Import,25
1323,Import,20
1324,Import,24
1325,Import,24
1326,Import,20
1327,Local,3
1328,Import,21
1329,Local,5
1330,Local,5
1331,Import,16
1332,Local,4
1333,Import,15
1334,Local,5
1335,Local,4
1336,Import,24
1337,Local,5
1338,Local,4
1339,Local,4
1340,Import,16
1341,Local,3
1342,Local,3
1343,Local,5
1344,Import,22
1345,Local,4
1346,Local,5
1347,Import,18
1348,Local,5
1349,Local,5
1350,Import,17
1351,Local,5
1352,Import,16
1353,Import,21
1354,Local,3
1355,Import,24
1356,Local,3
1357,Local,3
1358,Import,25
1359,Import,19
1360,Import,15
1361,Import,24
1362,Local,5
1363,Import,20
1364,Local,4
1365,Import,21
1366,Import,19
1367,Import,20
1368,Import,18
1369,Import,24
1370,Import,21
1371,Local,5
1372,Local,5
1373,Local,4
1374,Local,3
1375,Import,25
1376,Import,24
1377,Import,16
1378,Import,23
1379,Import,17
1380,Local,5
1381,Local,4
1382,Import,18
1383,Import,20
1384,Import,20
1385,Local,5
1386,Import,19
1387,Import,23
1388,Import,24
1389,Local,3
1390,Import,20
1391,Import,19
1392,Local,3
1393,Local,3
1394,Import,24
1395,Import,16
1396,Local,5
1397,Local,4
1398,Local,3
1399,Local,3
1400,Import,21
1401,Import,25
1402,Import,20
1403,Import,20
1404,Local,3
1405,Import,20
1406,Import,16
1407,Local,4
1408,Import,19
1409,Local,5
1410,Local,3
1411,Import,25
1412,Import,19
1413,Local,3
1414,Local,4
1415,Import,19
1416,Import,17
1417,Import,22
1418,Import,24
1419,Import,25
1420,Local,5
1421,Local,4
1422,Import,16
1423,Local,5
1424,Import,15
1425,Import,21
1426,Local,5
1427,Local,4
1428,Import,19
1429,Import,23
1430,Local,5
1431,Local,3
1432,Import,23
1433,Import,20
1434,Import,19
1435,Local,3
1436,Import,17
1437,Import,21
1438,Import,19
1439,Import,19
1440,Local,4
1441,Import,20
1442,Local,3
1443,Local,3
1444,Local,3
1445,Local,3
1446,Import,20
1447,Import,22
1448,Local,3
1449,Import,18
1450,Import,24
1451,Import,24
1452,Import,17
1453,Local,4
1454,Local,3
1455,Import,15
1456,Import,19
1457,Local,3
1458,Import,15
1459,Local,5
1460,Import,21
1461,Import,17
1462,Local,3
1463,Local,3
1464,Import,22
1465,Local,4
1466,Local,4
1467,Local,3
1468,Import,23
1469,Local,4
1470,Import,17
1471,Import,19
1472,Import,16
1473,Local,3
1474,Local,5
1475,Import,24
1476,Local,4
1477,Local,5
1478,Import,21
1479,Import,21
1480,Import,25
1481,Import,20
1482,Import,19
1483,Import,17
1484,Local,5
1485,Import,17
1486,Local,3
1487,Import,15
1488,Import,16
1489,Local,5
1490,Local,4
1491,Import,16
1492,Import,18
1493,Local,3
1494,Local,5
1495,Import,15
1496,Local,3
1497,Local,4
1498,Import,18
1499,Local,5
1500,Local,5
1501,Import,17
1502,Import,19
1503,Local,4
1504,Import,20
1505,Local,3
1506,Local,4
1507,Local,4
1508,Local,5
1509,Import,19
1510,Import,24
1511,Local,4
1512,Import,23
1513,Import,23
1514,Local,3
1515,Import,19
1516,Import,21
1517,Local,5
1518,Local,5
1519,Local,3
1520,Import,24
1521,Import,15
1522,Import,23
1523,Local,5
1524,Import,15
1525,Local,4
1526,Local,4
1527,Local,4
1528,Local,3
1529,Local,4
1530,Import,17
1531,Local,3
1532,Local,3
1533,Import,22
1534,Local,5
1535,Import,17
1536,Local,5
1537,Import,19
1538,Import,16
1539,Local,4
1540,Local,4
1541,Import,18
1542,Local,4
1543,Import,23
1544,Local,3
1545,Local,5
1546,Local,3
1547,Local,3
1548,Local,4
1549,Import,18
1550,Import,25
1551,Import,20
1552,Local,4
1553,Local,3
1554,Local,5
1555,Import,19
1556,Local,3
1557,Local,5
1558,Import,18
1559,Import,21
1560,Import,22
1561,Local,4
1562,Import,19
1563,Local,3
1564,Local,5
1565,Local,3
1566,Local,4
1567,Import,16
1568,Local,5
1569,Import,25
1570,Local,4
1571,Import,24
1572,Import,19
1573,Local,5
1574,Import,22
1575,Local,4
1576,Import,24
1577,Import,18
1578,Import,24
1579,Import,24
1580,Local,4
1581,Local,3
1582,Import,22
1583,Local,3
1584,Import,20
1585,Import,25
1586,Local,4
1587,Local,3
1588,Import,16
1589,Local,5
1590,Import,18
1591,Local,3
1592,Import,23
1593,Local,4
1594,Local,5
1595,Local,3
1596,Local,5
1597,Import,17
1598,Local,4
1599,Local,5
1600,Local,4
1601,Local,3
1602,Import,20
1603,Import,16
1604,Import,24
1605,Local,3
1606,Local,4
1607,Local,5
1608,Local,4
1609,Local,5
1610,Local,4
1611,Import,22
1612,Import,17
1613,Local,5
1614,Import,17
1615,Local,5
1616,Local,4
1617,Import,22
1618,Local,4
1619,Local,3
1620,Import,25
1621,Import,16
1622,Local,5
1623,Import,15
1624,Import,17
1625,Import,15
1626,Import,17
1627,Import,15
1628,Local,5
1629,Import,21
1630,Local,5
1631,Import,18
1632,Local,4
1633,Local,5
1634,Local,4
1635,Import,15
1636,Import,24
1637,Local,4
1638,Import,25
1639,Local,4
1640,Import,24
1641,Local,3
1642,Import,18
1643,Local,4
1644,Import,17
1645,Import,25
1646,Local,3
1647,Import,25
1648,Import,21
1649,Import,24
1650,Import,18
1651,Local,5
1652,Local,4
1653,Import,19
1654,Import,24
1655,Local,3
1656,Local,5
1657,Import,17
1658,Import,22
1659,Local,3
1660,Local,4
1661,Local,4
1662,Local,4
1663,Import,21
1664,Import,18
1665,Import,19
1666,Import,18
1667,Local,3
1668,Import,17
1669,Import,15
1670,Import,18
1671,Local,4
1672,Local,4
1673,Import,21
1674,Local,3
1675,Local,3
1676,Import,15
1677,Import,19
1678,Local,3
1679,Local,5
1680,Local,3
1681,Import,21
1682,Local,3
1683,Local,3
1684,Local,4
1685,Import,22
1686,Local,5
1687,Import,16
1688,Local,3
1689,Import,21
1690,Import,22
1691,Local,4
1692,Import,15
1693,Local,3
1694,Import,17
1695,Import,16
1696,Local,5
1697,Import,21
1698,Import,18
1699,Local,4
1700,Import,24
1701,Import,24
1702,Local,5
1703,Local,3
1704,Import,20
1705,Local,5
1706,Local,4
1707,Local,5
1708,Local,5
1709,Local,5
1710,Import,21
1711,Import,20
1712,Import,21
1713,Import,19
1714,Local,5
1715,Import,15
1716,Local,4
1717,Local,4
1718,Local,3
1719,Import,20
1720,Import,15
1721,Import,18
1722,Local,4
1723,Local,3
1724,Import,19
1725,Local,3
1726,Local,5
1727,Local,4
1728,Import,20
1729,Local,5
1730,Local,4
1731,Import,25
1732,Local,3
1733,Local,4
1734,Import,18
1735,Local,5
1736,Import,15
1737,Import,23
1738,Local,3
1739,Local,3
1740,Local,3
1741,Import,24
1742,Local,4
1743,Local,5
1744,Import,24
1745,Import,24
1746,Local,5
1747,Local,3
1748,Import,22
1749,Import,16
1750,Import,24
1751,Local,4
1752,Import,15
1753,Local,3
1754,Local,5
1755,Local,5
1756,Import,24
1757,Local,3
1758,Import,19
1759,Import,25
1760,Import,19
1761,Local,4
1762,Import,15
1763,Local,5
1764,Local,3
1765,Local,5
1766,Local,5
1767,Local,5
1768,Local,3
1769,Import,21
1770,Import,23
1771,Import,25
1772,Import,15
1773,Import,25
1774,Local,4
1775,Local,5
1776,Import,20
1777,Import,23
1778,Local,4
1779,Import,24
1780,Import,15
1781,Local,5
1782,Import,24
1783,Local,5
1784,Import,17
1785,Import,22
1786,Local,3
1787,Import,25
1788,Local,4
1789,Import,17
1790,Import,19
1791,Local,3
1792,Import,18
1793,Import,15
1794,Local,5
1795,Import,19
1796,Local,5
1797,Local,4
1798,Local,4
1799,Import,22
1800,Local,3
1801,Import,18
1802,Local,4
1803,Local,4
1804,Import,15
1805,Import,25
1806,Local,3
1807,Local,4
1808,Import,22
1809,Import,15
1810,Import,16
1811,Local,3
1812,Import,24
1813,Local,4
1814,Import,16
1815,Local,4
1816,Local,5
1817,Local,5
1818,Local,4
1819,Local,5
1820,Local,3
1821,Local,4
1822,Import,15
1823,Local,5
1824,Import,16
1825,Local,3
1826,Local,4
1827,Import,20
1828,Import,20
1829,Import,16
1830,Import,17
1831,Local,3
1832,Import,22
1833,Local,4
1834,Import,23
1835,Local,4
1836,Local,3
1837,Local,3
1838,Local,4
1839,Local,3
1840,Import,24
1841,Local,3
1842,Local,4
1843,Import,25
1844,Import,19
1845,Import,23
1846,Local,3
1847,Local,5
1848,Import,15
1849,Import,19
1850,Local,4
1851,Import,24
1852,Import,25
1853,Import,25
1854,Import,16
1855,Local,3
1856,Local,4
1857,Local,4
1858,Local,3
1859,Import,18
1860,Import,15
1861,Import,18
1862,Local,3
1863,Local,3
1864,Local,5
1865,Import,18
1866,Import,18
1867,Import,16
1868,Local,5
1869,Import,25
1870,Local,3
