product_id,category,cost_price,selling_price
171,Grocery,480,1752
172,Sports,970,1378
173,Electronics,12417,12718
174,Electronics,19562,20199
175,Grocery,345,478
176,Home,3192,4562
177,Fashion,4769,6537
178,Grocery,432,2330
179,Fashion,3488,4148
180,Grocery,255,1446
181,Electronics,12641,14561
182,Fashion,575,1259
183,Sports,2680,4208
184,Home,3941,5399
185,Grocery,421,709
186,Grocery,159,374
187,Home,6054,6839
188,Grocery,80,1997
189,Home,2116,3774
190,Home,4871,5649
191,Grocery,110,1852
192,Electronics,18558,18903
193,Fashion,718,1760
194,Grocery,136,685
195,Sports,1519,2042
196,Home,7948,9619
197,Fashion,4922,5445
198,Home,8238,9438
199,Sports,7509,9031
200,Grocery,391,2377
201,Grocery,219,1787
202,Home,4013,5252
203,Electronics,46739,48286
204,Electronics,46714,47553
205,Fashion,4215,5858
206,Fashion,4404,5817
207,Sports,3080,4189
208,Grocery,473,1213
209,Home,6352,7273
210,Grocery,374,867
211,Sports,4004,4271
212,Fashion,2036,3359
213,Sports,1242,1487
214,Home,1476,2118
215,Fashion,713,2580
216,Electronics,16498,17674
217,Sports,5844,6674
218,Grocery,211,423
219,Sports,7027,8677
220,Home,4360,4735
221,Fashion,3173,4046
222,Home,5293,7234
223,Grocery,231,2222
224,Home,6202,7540
225,Grocery,89,646
226,Grocery,227,1051
227,Fashion,3817,4559
228,Electronics,38491,40417
229,Home,5671,6676
230,Home,7824,8685
231,Sports,2353,4284
232,Home,9102,9609
233,Grocery,244,546
234,Grocery,188,1993
235,Home,5956,7769
236,Sports,4999,6924
237,Home,4296,6152
238,Fashion,4987,5266
239,Electronics,23915,24982
240,Home,5808,7542
241,Home,3333,3755
242,Grocery,418,1063
243,Sports,4542,6424
244,Sports,5832,7038
245,Home,2807,4787
246,Grocery,364,1414
247,Grocery,422,2102
248,Home,4146,4451
249,Electronics,34866,35486
250,Grocery,117,302
251,Fashion,3917,4201
252,Fashion,4617,4802
253,Home,3642,3880
254,Grocery,322,909
255,Fashion,3170,4116
256,Fashion,4151,5992
257,Home,5472,5761
258,Electronics,40273,41425
259,Sports,2303,2830
260,Grocery,68,1016
261,Fashion,3833,5750
262,Sports,5909,6591
263,Grocery,311,1870
264,Home,8273,10139
265,Grocery,314,2003
266,Grocery,495,1115
267,Fashion,3557,4962
268,Sports,2749,3100
269,Fashion,4867,5766
270,Home,3200,4216
271,Fashion,2078,2481
272,Electronics,45857,47798
273,Sports,5361,6411
274,Home,5319,5968
275,Home,3412,4987
276,Electronics,37549,39040
277,Electronics,44938,46250
278,Home,2321,4137
279,Electronics,42304,42946
280,Fashion,3346,4951
281,Electronics,33218,33928
282,Fashion,2787,3444
283,Fashion,4463,4884
284,Grocery,277,819
285,Fashion,2727,4558
286,Fashion,3035,4362
287,Electronics,37351,37783
288,Fashion,4186,5513
289,Sports,6738,7432
290,Home,8779,10073
291,Home,1447,3115
292,Grocery,140,1143
293,Home,1689,2739
294,Home,9274,9873
295,Grocery,444,574
296,Grocery,394,846
297,Home,4159,5281
298,Grocery,482,2430
299,Electronics,8591,10201
300,Fashion,3620,4383
301,Fashion,2482,4151
302,Fashion,3265,5203
303,Home,8835,10424
304,Fashion,1245,1600
305,Fashion,2448,3351
306,Fashion,3028,4734
307,Sports,7483,7974
308,Fashion,3459,3713
309,Home,1133,3087
310,Sports,3010,4856
311,Sports,2229,3240
312,Electronics,21742,22711
313,Grocery,96,948
314,Home,8831,10073
315,Fashion,2035,3986
316,Home,6587,8060
317,Grocery,479,2368
318,Fashion,3534,4573
319,Sports,2429,3316
320,Home,7032,8491
321,Home,2703,3437
322,Grocery,115,1930
323,Home,8519,9509
324,Fashion,1956,3259
325,Grocery,354,1947
326,Fashion,3298,4907
327,Grocery,367,990
328,Fashion,4101,6098
329,Fashion,3150,4026
330,Sports,3680,4912
331,Grocery,481,1408
332,Electronics,42986,43560
333,Electronics,43657,43787
334,Grocery,165,1018
335,Grocery,267,655
336,Fashion,2014,3101
337,Electronics,16756,17120
338,Home,2846,3927
339,Sports,1585,3457
340,Fashion,1614,3518
341,Electronics,19253,20064
342,Fashion,2386,3737
343,Fashion,4457,5024
344,Fashion,1064,2236
345,Electronics,43712,44899
346,Fashion,928,1350
347,Fashion,3937,4612
348,Sports,6687,7759
349,Fashion,1341,2760
350,Grocery,80,379
351,Grocery,178,2149
352,Grocery,99,1638
353,Electronics,28455,29676
354,Fashion,752,2690
355,Sports,6747,6955
356,Home,4149,5510
357,Fashion,4463,4777
358,Electronics,7005,7400
359,Sports,3361,4017
360,Fashion,3683,4457
361,Grocery,487,1418
362,Electronics,25898,26923
363,Grocery,492,1207
364,Grocery,476,634
365,Fashion,4978,6853
366,Electronics,16038,17163
367,Grocery,104,336
368,Grocery,190,701
369,Fashion,3485,4842
370,Home,4150,5011
371,Sports,2538,2689
372,Electronics,39195,41041
373,Electronics,22907,24802
374,Electronics,32463,34028
375,Electronics,16716,18002
376,Electronics,18544,20008
377,Electronics,5869,7404
378,Home,4807,5630
379,Grocery,205,943
380,Fashion,4012,5873
381,Grocery,467,809
382,Grocery,77,1423
383,Fashion,2533,3659
384,Home,9520,11254
385,Home,4951,5452
386,Grocery,224,843
387,Grocery,425,1286
388,Sports,7436,8945
389,Home,2608,2768
390,Grocery,398,1100
391,Electronics,18886,19708
392,Grocery,147,1336
393,Home,3825,4292
394,Sports,6100,6748
395,Fashion,2271,4175
396,Fashion,1171,2924
397,Grocery,332,2192
398,Grocery,455,1042
399,Grocery,336,1908
400,Home,6537,7707
401,Fashion,3105,4407
402,Electronics,13376,15045
403,Electronics,17574,18464
404,Home,9881,10169
405,Home,7336,8854
406,Electronics,5939,7165
407,Grocery,482,1329
408,Home,5865,7436
409,Home,2487,4463
410,Home,8619,9334
411,Home,2036,3921
412,Fashion,2972,4730
413,Fashion,3146,3729
414,Home,7336,8170
415,Grocery,309,808
416,Home,1608,2290
417,Electronics,37561,39019
418,Grocery,84,925
419,Electronics,29606,30469
420,Grocery,249,1543
421,Fashion,1688,3125
422,Grocery,131,1060
423,Home,2414,2568
424,Sports,4934,5146
425,Fashion,4262,4851
426,Electronics,39268,40521
427,Home,6026,6850
428,Grocery,443,1144
429,Home,9513,10637
430,Sports,3765,4594
431,Sports,3519,4110
432,Home,1164,1984
433,Fashion,3831,4454
434,Electronics,23700,24534
435,Grocery,361,1289
436,Home,7298,8305
437,Grocery,78,828
438,Home,8001,8796
439,Home,9604,10820
440,Grocery,234,1702
441,Electronics,33850,35472
442,Home,8379,10217
443,Electronics,16223,18065
444,Electronics,29922,31168
445,Home,4858,6015
446,Sports,3408,4741
447,Home,8663,10101
448,Electronics,30438,31937
449,Fashion,1176,1505
450,Sports,2930,3126
451,Home,6308,7083
452,Fashion,4440,5616
453,Electronics,45132,46673
454,Sports,3701,4198
455,Fashion,3030,3672
456,Electronics,37629,38286
457,Grocery,143,1390
458,Electronics,31593,32345
459,Home,9278,9412
460,Sports,1560,2003
461,Sports,926,1580
462,Grocery,207,541
463,Electronics,41761,42334
464,Sports,1092,2962
465,Electronics,7151,9074
466,Sports,7226,8806
467,Sports,2311,3786
468,Fashion,2765,3652
469,Fashion,4172,4531
470,Electronics,31173,31902
471,Home,3183,4135
472,Electronics,33798,34166
473,Fashion,957,2642
474,Fashion,4010,4126
475,Electronics,8255,8564
476,Sports,1053,1936
477,Electronics,44509,45337
478,Home,3845,5203
479,Grocery,475,626
480,Electronics,27296,29033
481,Home,2409,4359
482,Sports,6338,8181
483,Sports,1449,3282
484,Sports,7885,8286
485,Electronics,45215,45382
486,Electronics,32832,33057
487,Grocery,457,1562
488,Home,1432,3119
489,Fashion,710,1080
490,Home,6926,7829
491,Home,9650,10836
492,Fashion,3073,3557
493,Electronics,26658,28649
494,Fashion,2032,3273
495,Sports,5294,6883
496,Electronics,7776,7905
497,Electronics,12644,13328
498,Home,5702,6018
499,Fashion,4836,5357
500,Fashion,566,2284
501,Grocery,71,1279
502,Fashion,2336,2800
503,Home,6283,7386
504,Home,5559,5891
505,Electronics,23409,25386
506,Sports,5589,6282
507,Fashion,4862,5543
508,Home,6789,8162
509,Sports,3517,4623
510,Sports,5727,5966
511,Sports,7065,8483
512,Fashion,1705,3677
513,Sports,3771,4744
514,Electronics,7527,9463
515,Sports,5436,6043
516,Home,6991,8564
517,Sports,3715,4953
518,Electronics,5392,7007
519,Home,2143,2540
520,Electronics,26085,27882
521,Electronics,33224,35124
522,Electronics,43529,43803
523,Fashion,4093,4306
524,Fashion,1855,3429
525,Fashion,3617,4501
526,Fashion,3926,5880
527,Grocery,484,1305
528,Home,8789,10205
529,Grocery,395,1580
530,Sports,3778,5101
531,Fashion,4436,5303
532,Fashion,4096,4844
533,Fashion,2349,4277
534,Fashion,602,1607
535,Home,9987,11076
536,Fashion,1496,2957
537,Grocery,311,1686
538,Home,7860,8576
539,Electronics,7128,7576
540,Electronics,41408,41527
541,Fashion,1453,3376
542,Fashion,3032,4090
543,Sports,7029,8292
544,Electronics,34963,35178
545,Electronics,17608,18493
546,Sports,4223,5300
547,Sports,6089,6385
548,Fashion,3225,4086
549,Home,9857,11478
550,Fashion,3761,5455
551,Fashion,646,2067
552,Electronics,20849,22452
553,Home,3559,4978
554,Electronics,15165,16837
555,Home,1234,1935
556,Electronics,30923,31507
557,Electronics,7901,8874
558,Electronics,22731,23354
559,Home,6671,7096
560,Sports,6861,8538
561,Home,2364,4122
562,Fashion,2054,2464
563,Home,5936,6623
564,Grocery,99,332
565,Home,2114,3445
566,Electronics,39651,39959
567,Home,4261,5640
568,Home,7777,8523
569,Electronics,31414,31688
570,Home,9720,10862
571,Electronics,30885,32147
572,Electronics,13935,14226
573,Home,3534,4669
574,Electronics,16744,17582
575,Sports,3513,3673
576,Electronics,49494,49678
577,Sports,7723,9700
578,Grocery,288,631
579,Sports,874,1808
580,Home,2429,4016
581,Electronics,13054,13650
582,Sports,7969,9332
583,Home,9235,10911
584,Sports,5319,7100
585,Electronics,13750,14822
586,Electronics,5971,6295
587,Home,6662,8057
588,Grocery,164,1698
589,Sports,1199,2213
590,Grocery,484,2326
591,Home,9165,9855
592,Electronics,49449,50130
593,Grocery,240,1362
594,Fashion,2684,2857
595,Home,5291,5513
596,Grocery,201,1618
597,Home,1096,3012
598,Sports,4356,5741
599,Fashion,1920,2809
600,Sports,4261,4929
601,Electronics,46986,47287
602,Fashion,2677,4663
603,Grocery,411,1701
604,Electronics,16873,18012
605,Home,6382,7270
606,Home,7834,9209
607,Electronics,48661,49070
608,Electronics,18894,19938
609,Electronics,45709,46766
610,Electronics,5226,6091
611,Fashion,1120,2973
612,Grocery,279,1211
613,Home,3325,5184
614,Grocery,337,1870
615,Grocery,347,1610
616,Grocery,228,557
617,Electronics,29843,31426
618,Sports,2876,4679
619,Sports,6810,7055
620,Sports,5234,6228
621,Electronics,26830,27766
622,Sports,7217,7454
623,Grocery,391,559
624,Home,1120,1693
625,Home,6787,7572
626,Grocery,97,718
627,Home,3172,4826
628,Fashion,4078,5084
629,Sports,3014,4695
630,Sports,6921,7305
631,Home,4728,6085
632,Fashion,2506,3926
633,Electronics,33889,35791
634,Grocery,296,2147
635,Home,4777,6126
636,Home,4349,4917
637,Home,7988,9384
638,Home,7344,9080
639,Sports,4969,5307
640,Home,4513,5964
641,Grocery,475,2457
642,Electronics,17220,17339
643,Sports,2166,3170
644,Home,7764,7889
645,Electronics,11420,12378
646,Sports,5211,5939
647,Home,3520,3898
648,Fashion,1117,2218
649,Sports,2063,3165
650,Grocery,495,1535
651,Electronics,29152,30349
652,Grocery,147,1382
653,Sports,1561,2215
654,Sports,3154,3872
655,Fashion,2073,2891
656,Home,4212,4472
657,Fashion,4493,5047
658,Sports,4388,5722
659,Grocery,477,2155
660,Home,5281,7266
661,Home,7590,7876
662,Sports,6092,7710
663,Fashion,2043,3712
664,Home,4804,5232
665,Electronics,42421,42653
666,Electronics,35562,36425
667,Electronics,38270,39359
668,Electronics,5894,6842
669,Electronics,21021,21887
670,Electronics,38451,39705
671,Home,3478,5239
672,Fashion,970,1292
673,Home,7045,8496
674,Home,5468,6415
675,Home,9541,11153
676,Grocery,291,482
677,Home,1039,2781
678,Electronics,46584,47203
679,Electronics,39230,41042
680,Sports,2306,2956
681,Sports,2559,3993
682,Fashion,708,2191
683,Grocery,211,1230
684,Fashion,1126,1724
685,Fashion,3316,4220
686,Fashion,2698,4674
687,Electronics,29805,30135
688,Sports,6149,6711
689,Grocery,380,2271
690,Fashion,4945,6702
691,Grocery,418,1786
692,Electronics,29304,31029
693,Electronics,22769,23603
694,Grocery,466,1074
695,Fashion,3189,5133
696,Electronics,31218,31592
697,Electronics,42154,42476
698,Home,5988,7837
699,Grocery,382,1464
700,Fashion,2519,4296
701,Electronics,39259,40177
702,Grocery,206,2101
703,Sports,7633,9237
704,Fashion,2954,4848
705,Grocery,258,2166
706,Grocery,176,290
707,Fashion,3524,5141
708,Grocery,479,1897
709,Fashion,3767,4024
710,Sports,1665,3178
711,Fashion,2362,3472
712,Fashion,3439,5385
713,Home,9812,11156
714,Grocery,462,2279
715,Electronics,5919,7108
716,Home,1304,1494
717,Home,7056,7349
718,Grocery,268,1424
719,Electronics,7700,9520
720,Electronics,15850,17505
721,Fashion,1408,2788
722,Sports,7450,7989
723,Electronics,6118,7352
724,Electronics,44399,45678
725,Home,1223,2251
726,Fashion,3019,4994
727,Sports,3635,4338
728,Electronics,15150,16167
729,Electronics,5003,6694
730,Electronics,25138,25998
731,Home,4541,5010
732,Fashion,4131,5136
733,Electronics,37055,37304
734,Fashion,1870,2609
735,Sports,3449,4271
736,Sports,4117,5014
737,Fashion,1981,2130
738,Grocery,416,2187
739,Sports,5326,7031
740,Home,6272,7996
741,Sports,6290,6603
742,Sports,7907,9164
743,Grocery,385,1645
744,Home,1618,2104
745,Fashion,2906,3526
746,Electronics,21016,22275
747,Grocery,497,1725
748,Home,8547,9712
749,Home,7731,9100
750,Sports,7039,7780
751,Sports,4287,4715
752,Sports,7828,8919
753,Sports,5987,6724
754,Grocery,345,1075
755,Home,9332,11151
756,Sports,2609,4493
757,Fashion,4405,6069
758,Home,5731,7651
759,Sports,7952,8829
760,Fashion,1809,3234
761,Home,9707,10046
762,Grocery,387,1779
763,Grocery,388,804
764,Grocery,208,1338
765,Sports,3903,5535
766,Grocery,128,922
767,Electronics,36500,38321
768,Sports,7667,9421
769,Fashion,4278,6024
770,Sports,4170,5017
771,Grocery,141,814
772,Sports,5462,6414
773,Electronics,48889,50504
774,Home,4660,5129
775,Home,7139,8314
776,Grocery,126,413
777,Fashion,565,1912
778,Grocery,179,861
779,Fashion,1990,2456
780,Home,2795,4314
781,Grocery,408,1961
782,Grocery,123,1517
783,Sports,4487,5442
784,Home,1661,3519
785,Fashion,2827,4423
786,Electronics,37579,39238
787,Home,5990,6573
788,Home,2109,3013
789,Fashion,669,2109
790,Fashion,686,1872
791,Fashion,1959,3501
792,Home,4073,4590
793,Sports,1605,2096
794,Home,5502,7102
795,Grocery,331,1709
796,Sports,4395,4904
797,Sports,3527,5157
798,Sports,7725,9656
799,Electronics,25911,27163
800,Fashion,1260,2343
801,Electronics,16580,18378
802,Sports,4968,6278
803,Home,5223,5468
804,Grocery,437,1481
805,Grocery,143,1727
806,Fashion,3456,3864
807,Fashion,1403,1776
808,Sports,6737,8598
809,Fashion,1514,3130
810,Grocery,123,598
811,Home,1297,3166
812,Home,7951,9779
813,Sports,6980,7673
814,Home,5146,6694
815,Sports,6996,8397
816,Electronics,17636,18331
817,Home,1756,3559
818,Grocery,420,1759
819,Electronics,46465,47387
820,Sports,5165,6010
821,Fashion,2134,3657
822,Home,6063,7644
823,Home,4904,6599
824,Electronics,47926,49317
825,Fashion,3218,3484
826,Home,9365,10970
827,Grocery,76,1757
828,Fashion,2453,2779
829,Home,4214,5874
830,Electronics,21120,22458
831,Home,5116,5572
832,Home,4465,4666
833,Sports,3791,4676
834,Home,3959,4529
835,Grocery,465,1634
836,Grocery,372,1074
837,Electronics,40423,41730
838,Fashion,1452,3328
839,Sports,4910,6773
840,Home,6313,7218
841,Electronics,44427,45213
842,Fashion,3625,3864
843,Electronics,34446,34599
844,Sports,4983,5848
845,Fashion,2188,2756
846,Home,1632,3374
847,Home,4280,5863
848,Fashion,2038,3867
849,Sports,7241,7615
850,Sports,4309,5790
851,Fashion,4418,4740
852,Grocery,292,1162
853,Sports,1512,2462
854,Home,5109,7086
855,Fashion,2391,3726
856,Fashion,4891,5042
857,Grocery,455,2022
858,Fashion,806,1835
859,Home,9016,10389
860,Home,9938,10525
861,Electronics,22809,23205
862,Grocery,231,1692
863,Home,7534,8270
864,Sports,7245,9008
865,Sports,889,2243
866,Home,3093,3490
867,Grocery,477,857
868,Home,3593,4297
869,Grocery,423,1800
870,Sports,3271,4772
871,Home,9421,10983
872,Electronics,17007,17896
873,Electronics,20000,21824
874,Fashion,773,1982
875,Sports,5650,5980
876,Grocery,313,2020
877,Electronics,22117,23409
878,Home,7401,8245
879,Electronics,30363,31841
880,Fashion,1000,1100
881,Fashion,4279,4522
882,Electronics,47936,48390
883,Fashion,933,2494
884,Fashion,4279,5141
885,Electronics,23862,24003
886,Fashion,3800,5187
887,Fashion,4422,5183
888,Electronics,48819,49667
889,Grocery,95,386
890,Fashion,4475,4679
891,Sports,3433,3930
892,Home,6651,7118
893,Grocery,316,1593
894,Home,9966,10108
895,Fashion,3386,3827
896,Grocery,426,1270
897,Electronics,22480,23430
898,Sports,6914,7518
899,Fashion,2349,2753
900,Fashion,2875,3209
901,Fashion,1940,3070
902,Sports,4319,5304
903,Fashion,1660,3107
904,Electronics,34111,35815
905,Electronics,8036,8267
906,Sports,4897,6424
907,Electronics,26447,26877
908,Sports,7568,8621
909,Home,9780,10311
910,Home,5214,6012
911,Grocery,268,1593
912,Electronics,28523,29573
913,Home,8407,9227
914,Grocery,343,1646
915,Sports,4596,6210
916,Sports,4607,5725
917,Sports,5544,7018
918,Home,2866,3843
919,Fashion,2863,3865
920,Fashion,3009,4580
921,Sports,5359,6054
922,Grocery,302,442
923,Grocery,166,523
924,Home,1470,2138
925,Sports,4445,5669
926,Sports,1482,1998
927,Home,8220,8796
928,Grocery,219,1376
929,Home,1635,2965
930,Electronics,11076,11236
931,Grocery,346,641
932,Fashion,3535,3876
933,Home,3820,5698
934,Electronics,33398,33766
935,Grocery,281,1206
936,Electronics,6393,8092
937,Fashion,3573,4536
938,Sports,2860,3081
939,Electronics,6338,7430
940,Home,9302,11047
941,Electronics,47849,48320
942,Sports,1554,3196
943,Grocery,63,243
944,Grocery,100,1678
945,Sports,4444,5697
946,Fashion,1478,2142
947,Fashion,2967,3250
948,Sports,2389,2995
949,Electronics,48227,50147
950,Home,2435,3469
951,Grocery,361,1289
952,Grocery,158,560
953,Fashion,2406,3978
954,Sports,7935,9364
955,Electronics,13276,14716
956,Electronics,41314,42578
957,Electronics,45674,47074
958,Fashion,1392,2182
959,Home,6257,8194
960,Sports,7801,7939
961,Sports,5133,6643
962,Home,4829,5625
963,Sports,2161,2655
964,Sports,6149,6816
965,Sports,1112,1552
966,Grocery,453,920
967,Home,2746,3687
968,Electronics,30124,30512
969,Grocery,217,1705
970,Electronics,8505,9459
971,Fashion,4183,5784
972,Home,6748,7225
973,Sports,5447,7372
974,Electronics,32255,33355
975,Fashion,1293,2404
976,Fashion,2848,4516
977,Electronics,5978,7679
978,Sports,4815,5970
979,Grocery,85,1845
980,Grocery,339,2251
981,Home,4474,5235
982,Home,6523,6750
983,Grocery,325,1011
984,Sports,3581,5149
985,Fashion,3795,5420
986,Sports,3419,4889
987,Sports,3455,3803
988,Grocery,289,1931
989,Electronics,31110,31687
990,Sports,3897,5088
991,Grocery,437,1853
992,Home,4529,5420
993,Grocery,336,889
994,Sports,3723,3942
995,Fashion,4242,5891
996,Home,4436,5569
997,Grocery,415,747
998,Grocery,58,987
999,Fashion,1383,2515
1000,Grocery,310,1366
1001,Fashion,4805,5582
1002,Electronics,13084,13607
1003,Electronics,7462,8783
1004,Sports,5355,6565
1005,Electronics,41133,43023
1006,Grocery,350,1525
1007,Electronics,42134,43402
1008,Grocery,159,2158
1009,Electronics,33339,34645
1010,Sports,1355,1816
1011,Fashion,1731,1992
1012,Home,3836,5404
1013,Home,9426,10000
1014,Sports,5503,6663
1015,Fashion,4468,5635
1016,Sports,7676,7793
1017,Sports,1081,1217
1018,Home,7262,9109
1019,Home,3369,3585
1020,Electronics,16180,17445
1021,Grocery,348,1097
1022,Fashion,3760,3986
1023,Grocery,320,512
1024,Grocery,318,683
1025,Fashion,2872,3180
1026,Home,5777,7671
1027,Grocery,298,2186
1028,Sports,3045,4597
1029,Fashion,4673,4799
1030,Fashion,3319,4250
1031,Sports,3307,4701
1032,Grocery,86,1997
1033,Home,3424,3968
1034,Grocery,315,1938
1035,Home,5288,6108
1036,Sports,7539,8875
1037,Sports,3267,4561
1038,Sports,5676,5986
1039,Home,4791,6608
1040,Sports,3248,4751
1041,Sports,7372,8797
1042,Sports,1523,2753
1043,Grocery,219,371
1044,Sports,6582,7668
1045,Fashion,2261,2712
1046,Electronics,6471,7605
1047,Grocery,407,1009
1048,Sports,1415,3216
1049,Sports,3772,4279
1050,Sports,1181,2997
1051,Grocery,295,625
1052,Home,6236,6425
1053,Home,8452,9106
1054,Fashion,1455,1565
1055,Grocery,224,1958
1056,Electronics,22059,22949
1057,Grocery,72,1095
1058,Sports,4527,4862
1059,Fashion,3569,5155
1060,Grocery,289,519
1061,Electronics,39668,41215
1062,Sports,3732,4765
1063,Home,2972,3195
1064,Grocery,280,1635
1065,Electronics,39162,39818
1066,Fashion,4187,5475
1067,Grocery,301,964
1068,Sports,4858,5173
1069,Electronics,24618,26204
1070,Fashion,525,1896
1071,Home,2718,4525
1072,Electronics,38793,39719
1073,Electronics,14259,15526
1074,Sports,4876,6346
1075,Electronics,18074,20059
1076,Sports,959,1944
1077,Sports,2392,4058
1078,Sports,3711,4802
1079,Grocery,127,924
1080,Home,2048,4035
1081,Home,1683,2721
1082,Sports,5351,5504
1083,Sports,3998,4235
1084,Electronics,49948,50989
1085,Home,2997,4280
1086,Home,7827,8599
1087,Sports,2599,4082
1088,Grocery,421,1870
1089,Electronics,49768,51267
1090,Fashion,1389,2150
1091,Home,6993,7572
1092,Grocery,340,1403
1093,Electronics,11654,12531
1094,Sports,4744,5935
1095,Home,4419,6297
1096,Fashion,4248,5553
1097,Grocery,326,1084
1098,Sports,7508,8601
1099,Electronics,13891,14618
1100,Home,3457,4355
1101,Fashion,1232,1579
1102,Sports,3156,4049
1103,Sports,3021,4668
1104,Home,7398,9304
1105,Grocery,486,616
1106,Fashion,4231,4834
1107,Fashion,960,2790
1108,Home,8461,9742
1109,Sports,3096,4689
1110,Home,8173,9979
1111,Fashion,2620,4068
1112,Sports,4331,5981
1113,Home,1412,1896
1114,Fashion,4887,5217
1115,Electronics,14882,16283
1116,Grocery,112,1978
1117,Grocery,237,598
1118,Home,9541,10624
1119,Grocery,302,2258
1120,Home,8306,9706
1121,Sports,5400,6406
1122,Sports,1354,3077
1123,Grocery,392,1425
1124,Home,1022,3000
1125,Home,6433,7190
1126,Fashion,3672,5076
1127,Electronics,38667,39003
1128,Sports,1660,2315
1129,Electronics,36186,37835
1130,Grocery,200,1719
1131,Grocery,239,2032
1132,Fashion,804,2664
1133,Sports,4038,4737
1134,Home,4477,4803
1135,Fashion,1598,2846
1136,Fashion,4827,6173
1137,Fashion,1799,3429
1138,Electronics,34498,35147
1139,Fashion,4124,4815
1140,Grocery,435,690
1141,Grocery,377,1948
1142,Fashion,2566,2674
1143,Grocery,387,491
1144,Electronics,47664,48183
